date,date,open,close,high,low,volume
1991-04-03,1991-04-03,49.0,49.0,49.0,49.0,1
1991-04-04,1991-04-04,48.76,48.76,48.76,48.76,3
1991-04-05,1991-04-05,48.52,48.52,48.52,48.52,2
1991-04-06,1991-04-06,48.28,48.28,48.28,48.28,7
1991-04-08,1991-04-08,48.04,48.04,48.04,48.04,2
1991-04-09,1991-04-09,47.8,47.8,47.8,47.8,4
1991-04-10,1991-04-10,47.56,47.56,47.56,47.56,15
1991-04-12,1991-04-12,47.08,47.08,47.08,47.08,8
1991-04-13,1991-04-13,46.84,46.84,46.84,46.84,5
1991-04-16,1991-04-16,46.38,46.38,46.38,46.38,2
1991-04-17,1991-04-17,46.15,46.15,46.15,46.15,1
1991-04-18,1991-04-18,45.92,45.92,45.92,45.92,4
1991-04-19,1991-04-19,45.69,45.69,45.69,45.69,2
1991-04-20,1991-04-20,45.46,45.46,45.46,45.46,5
1991-04-23,1991-04-23,45.0,45.0,45.0,45.0,28
1991-04-24,1991-04-24,44.78,44.78,44.78,44.78,16
1991-04-25,1991-04-25,44.56,44.56,44.56,44.56,15
1991-04-26,1991-04-26,44.34,44.34,44.34,44.34,8
1991-04-29,1991-04-29,43.9,43.9,43.9,43.9,4
1991-04-30,1991-04-30,43.68,43.68,43.68,43.68,2
1991-05-02,1991-05-02,61.14,61.14,61.14,61.14,2
1991-05-03,1991-05-03,60.84,60.84,60.84,60.84,3
1991-05-04,1991-05-04,60.53,60.53,60.53,60.53,2
1991-05-06,1991-05-06,60.53,60.53,60.53,60.53,9
1991-05-07,1991-05-07,59.93,59.93,59.93,59.93,2
1991-05-08,1991-05-08,59.63,59.63,59.63,59.63,109
1991-05-09,1991-05-09,59.34,59.34,59.34,59.34,15
1991-05-10,1991-05-10,59.04,59.04,59.04,59.04,20
1991-05-11,1991-05-11,58.75,58.75,58.75,58.75,6
1991-05-13,1991-05-13,58.46,58.46,58.46,58.46,19
1991-05-14,1991-05-14,58.16,58.16,58.16,58.16,55
1991-05-15,1991-05-15,57.87,57.87,57.87,57.87,387
1991-05-16,1991-05-16,57.57,57.57,57.57,57.57,493
1991-05-17,1991-05-17,57.29,57.29,57.29,57.29,419
1991-05-18,1991-05-18,57.01,57.01,57.01,57.01,110
1991-05-20,1991-05-20,56.73,56.73,56.73,56.73,51
1991-05-21,1991-05-21,56.45,56.45,56.45,56.45,63
1991-05-22,1991-05-22,56.17,56.17,56.17,56.17,43
1991-05-23,1991-05-23,55.89,55.89,55.89,55.89,17
1991-05-24,1991-05-24,55.61,55.61,55.61,55.61,3
1991-05-27,1991-05-27,55.05,55.05,55.05,55.05,5
1991-05-28,1991-05-28,54.77,54.77,54.77,54.77,3
1991-05-29,1991-05-29,54.51,54.51,54.51,54.51,36
1991-05-30,1991-05-30,54.24,54.24,54.24,54.24,14
1991-05-31,1991-05-31,53.98,53.98,53.98,53.98,1
1991-06-01,1991-06-01,54.24,54.24,54.24,54.24,10
1991-06-03,1991-06-03,53.44,53.44,53.44,53.44,7
1991-06-04,1991-06-04,53.18,53.18,53.18,53.18,1
1991-06-06,1991-06-06,52.65,52.65,52.65,52.65,4
1991-06-07,1991-06-07,52.38,52.38,52.38,52.38,1
