Date,Open,High,Low,Close,Adj Close,Volume
1995-01-03,44.12,44.38,42.87,42.87,2.00,36301200
1995-01-04,43.00,43.50,42.37,43.25,2.01,46051600
1995-01-05,43.38,43.50,42.25,42.37,1.97,37762800
1995-01-06,42.37,43.62,41.75,42.87,2.00,41864400
1995-01-09,43.25,44.12,43.13,44.12,2.05,34639200
1995-01-10,44.38,44.88,44.25,44.25,2.06,42088000
1995-01-11,44.62,44.88,42.50,42.94,2.00,46762000
1995-01-12,43.00,43.13,42.25,42.63,1.98,41294400
1995-01-13,43.13,43.44,42.00,42.13,1.96,55039200
1995-01-16,41.00,42.13,40.00,41.87,1.95,54574800
1995-01-17,41.87,43.38,41.87,43.38,2.02,39588000
1995-01-18,43.25,43.75,43.13,43.25,2.01,28841200
1995-01-19,43.13,44.88,42.87,44.75,2.08,55818000
1995-01-20,44.75,44.88,43.13,43.94,2.05,48518800
1995-01-23,43.62,43.62,42.50,43.00,2.00,37551600
1995-01-24,43.00,43.25,42.25,42.87,2.00,28960800
1995-01-25,42.63,44.50,42.25,43.75,2.04,67278400
1995-01-26,43.62,43.75,42.87,42.87,2.00,27543600
1995-01-27,43.00,43.25,42.25,42.75,1.99,35708400
1995-01-30,42.75,42.87,41.63,41.75,1.94,44440000
1995-01-31,42.00,43.13,41.75,42.63,1.98,37908400
1995-02-01,43.13,43.38,42.13,42.37,1.97,24384400
1995-02-02,42.37,43.00,42.13,42.87,2.00,24165600
1995-02-03,43.25,44.50,43.00,44.00,2.05,53942800
1995-02-06,44.00,44.62,43.75,44.44,2.07,24818800
1995-02-07,44.50,44.62,43.75,44.38,2.07,18529600
1995-02-08,44.50,44.62,43.62,43.88,2.04,26293200
1995-02-09,44.25,44.88,43.50,43.50,2.03,48528000
1995-02-10,43.75,44.62,43.50,44.25,2.06,36315600
1995-02-13,44.38,45.37,44.00,44.50,2.07,33372400
1995-02-14,44.88,45.13,43.75,44.12,2.05,28029600
1995-02-15,44.25,45.75,44.25,45.75,2.13,44546800
1995-02-16,45.75,46.25,45.25,46.13,2.15,45473200
1995-02-17,46.00,46.13,45.50,45.63,2.12,20790000
1995-02-21,46.00,46.50,45.75,46.13,2.15,27059200
1995-02-22,45.87,47.25,45.63,47.12,2.19,40435200
